Player Name,Player Jersey Number,Player Position,Player Age,Player Weight (lbs.),Years Played,"Player Birthplace (city, town, etc.)",Player Birth State,Player College,Player Team,Conference,State GEO ID,Full GEOID,Latitude (player birthplace),Longitude (player birthplace)
Stephen Gostkowski,#3,K/KFG/KKO,33,215,12,Madison,Mississippi,Memphis,New England,AFC,28,0400000US28,32.630868,-90.004082
Malcom Brown,#90,DT/RDT,23,320,3,Brenham,Texas,Texas,New England,AFC,48,0400000US48,30.166883,-96.397744
Trey Flowers,#98,DE/RDE,24,265,3,Huntsville,Alabama,Arkansas,New England,AFC,1,0400000US01,34.677972,-86.455462
Brandon King,#36,S/FS/SPTM,24,220,3,Alabaster,Alabama,Auburn,New England,AFC,1,0400000US01,33.244281,-86.816377
Nicholas Grigsby,#50,LB/MLB,25,230,2,Trotwood,Ohio,Pittsburgh,New England,AFC,39,0400000US39,39.797279,-84.311333
Ryan Allen,#6,P/HLD,27,220,5,Salem,Oregon,Louisiana Tech,New England,AFC,41,0400000US41,44.939157,-123.033121
Brian Hoyer,#2,QB,32,215,9,North Olmsted,Ohio,Michigan State,New England,AFC,39,0400000US39,41.415603,-81.923473
David Harris,#45,LB/MLB,33,250,11,Grand Rapids,Michigan,Michigan,New England,AFC,26,0400000US26,42.96336,-85.668086
Eric Lee,#55,DE/RDE,23,260,1,Panama City,Florida,South Florida,New England,AFC,12,0400000US12,30.160083,-85.654573
Vincent Valentine,#99,DT,23,320,2,Edwardsville,Illinois,Nebraska,New England,AFC,17,0400000US17,38.811436,-89.953157
Joe Cardona,#49,LB/LS,25,245,3,El Cajon,California,Navy,New England,AFC,6,0400000US06,32.794773,-116.962527
David Andrews,#60,C,25,295,3,Johns Creek,Georgia,Georgia,New England,AFC,13,0400000US13,34.018156,-84.190196
Marquis Flowers,#59,LB/LLB,25,250,4,Phoenix,Arizona,Arizona,New England,AFC,4,0400000US04,33.446768,-112.075672
Kyle Van Noy,#53,LB/LLB,26,243,4,Reno,Nevada,Brigham Young,New England,AFC,32,0400000US32,39.52927,-119.813674
Dwayne Allen,#83,TE,27,265,6,Fayetteville,North Carolina,Clemson,New England,AFC,37,0400000US37,35.052993,-78.878706
Kenny Britt,#85,WR,29,223,9,Bayonne,New Jersey,Rutgers,New England,AFC,34,0400000US34,40.668714,-74.114309
Ricky Jean Francois,#94,DT/LDE,31,313,9,Miami,Florida,LSU,New England,AFC,12,0400000US12,25.774266,-80.193659
Caleb Kidder,#64,DE,23,269,R,Helena,Montana,Montana,New England,AFC,30,0400000US30,46.592712,-112.036109
Ted Karras,#75,G/C,24,305,2,Chicago,Illinois,Illinois,New England,AFC,17,0400000US17,41.875555,-87.624421
Jacob Hollister,#47,TE,24,239,R,Bend,Oregon,Wyoming,New England,AFC,41,0400000US41,44.058173,-121.31531
Geneo Grissom,#96,DE/LDE,25,265,3,Hutchinson,Kansas,Oklahoma,New England,AFC,20,0400000US20,38.060844,-97.929774
Lawrence Guy,#93,DE/LDE,27,305,7,Las Vegas,Nevada,Arizona State,New England,AFC,32,0400000US32,36.166286,-115.149225
Tom Brady,#12,QB,40,225,18,San Mateo,California,Michigan,New England,AFC,6,0400000US06,37.496904,-122.333057
Derek Rivers,#95,DE,23,250,R,Kinston,North Carolina,Youngstown State,New England,AFC,37,0400000US37,35.262664,-77.581635
Deatrich Wise Jr.,#91,DE/LDT,23,271,R,Carrollton,Texas,Arkansas,New England,AFC,48,0400000US48,32.953735,-96.890282
Adam Butler,#70,DT/RDT,23,300,R,Duncanville,Texas,Vanderbilt,New England,AFC,48,0400000US48,32.6518,-96.908337
Cole Croston,#74,T/LOG,24,315,R,Sergeant Bluff,Iowa,Iowa,New England,AFC,19,0400000US19,42.403882,-96.35864
Joe Thuney,#62,G/LOG,25,305,2,Centerville,Ohio,North Carolina State,New England,AFC,39,0400000US39,39.628393,-84.159382
LaAdrian Waddle,#68,T/LOT,26,315,5,College Station,Texas,Texas Tech,New England,AFC,48,0400000US48,30.625346,-96.327154
Rob Gronkowski,#87,TE,28,265,8,Williamsville,New York,Arizona,New England,AFC,36,0400000US36,42.963784,-78.737726
Martellus Bennett,#88,TE,30,275,10,Houston,Texas,Texas A&M,New England,AFC,48,0400000US48,29.758938,-95.367697
Alan Branch,#97,DT/LDT,33,350,11,Albuquerque,New Mexico,Michigan,New England,AFC,35,0400000US35,35.084103,-106.650985
Nate Solder,#77,T/LOT,29,325,7,Denver,Colorado,Colorado,New England,AFC,8,0400000US08,39.739154,-104.984703
Brandon Bolden,#38,RB/SPTM,27,220,6,Baton Rouge,Louisiana,Mississippi,New England,AFC,22,0400000US22,30.450746,-91.154551
Destiny Vaeao,#97,DT/LDT,24,299,2,Pago Pago,American Samoa,Washington State,Philadelphia,NFC,75,0400000US75,-14.252294,-170.71345
Ronald Darby,#41,CB/RCB,24,193,3,Oxon Hill,Maryland,Florida State,Philadelphia,NFC,24,0400000US24,38.803596,-76.989657
Malcolm Jenkins,#27,S/SS/SPTM,30,204,9,Piscataway,New Jersey,Ohio State,Philadelphia,NFC,34,0400000US34,40.546255,-74.466041
Rick Lovato,#45,LB/LS,25,249,1,Middletown,New Jersey,Old Dominion,Philadelphia,NFC,34,0400000US34,39.271226,-74.743496
Nigel Bradham,#53,LB/LLB,28,241,6,Crawfordville,Florida,Florida State,Philadelphia,NFC,12,0400000US12,30.176036,-84.375178
Corey Clement,#30,KR/RB,23,220,R,Glassboro,New Jersey,Wisconsin,Philadelphia,NFC,34,0400000US34,39.702768,-75.111943
Derek Barnett,#96,DE/RDE,21,259,R,Nashville,Tennessee,Tennessee,Philadelphia,NFC,47,0400000US47,36.16223,-86.774353
Vinny Curry,#75,DE/RDE,29,279,6,Neptune,New Jersey,Marshall,Philadelphia,NFC,34,0400000US34,40.223998,-74.047822
Jay Ajayi,#36,RB,24,223,3,London,England,Boise State,Philadelphia,NFC,74,0400000US74,51.507322,-0.127647
Wendell Smallwood,#28,RB/KR,23,208,2,Wilmington,Delaware,West Virginia,Philadelphia,NFC,10,0400000US10,39.745947,-75.546589
Rodney McLeod,#23,S/FS,27,195,6,Hyattsville,Maryland,Virginia,Philadelphia,NFC,24,0400000US24,38.95325,-76.940852
Shelton Gibson,#18,WR,22,191,R,Cleveland,Ohio,West Virginia,Philadelphia,NFC,39,0400000US39,41.505161,-81.693445
Jaylen Watkins,#26,S/SS,26,194,3,Cape Coral,Florida,Florida,Philadelphia,NFC,12,0400000US12,26.606923,-81.980263
Patrick Robinson,#21,CB/LCB,30,191,8,Miami,Florida,Florida State,Philadelphia,NFC,12,0400000US12,25.774266,-80.193659
Darren Sproles,#43,RB,34,190,13,Waterloo,Iowa,Kansas State,Philadelphia,NFC,19,0400000US19,42.498286,-92.336869
Jake Elliott,#4,K/KFG/KKO,22,167,R,La Grange,Illinois,Memphis,Philadelphia,NFC,17,0400000US17,41.805458,-87.874864
Donnel Pumphrey,#34,RB,23,176,R,North Las Vegas,Nevada,San Diego State,Philadelphia,NFC,32,0400000US32,36.200837,-115.112096
Kenjon Barner,#38,RB/KR/PR,27,195,4,Lynwood,California,Oregon,Philadelphia,NFC,6,0400000US06,33.930323,-118.211493
Sidney Jones,#22,CB/LCB,21,181,R,Diamond Bar,California,Washington,Philadelphia,NFC,6,0400000US06,34.028623,-117.810337
Jalen Mills,#31,CB/LCB,23,191,2,DeSoto,Texas,LSU,Philadelphia,NFC,48,0400000US48,32.606015,-96.865657
Nelson Agholor,#13,WR,24,198,3,Tampa,Florida,USC,Philadelphia,NFC,12,0400000US12,27.94776,-82.458444
Mychal Kendricks,#95,LB/RLB,27,240,6,Fresno,California,California,Philadelphia,NFC,6,0400000US06,36.748793,-119.71484
Najee Goode,#52,LB/LLB/SPTM,28,244,6,Cleveland,Ohio,West Virginia,Philadelphia,NFC,39,0400000US39,41.505161,-81.693445
